"Dfe_TBCBank_R_100","Decline (general, no comments)"
"Dfe_TBCBank_R_101","Decline, expired card"
"Dfe_TBCBank_R_102","Decline, suspected fraud"
"Dfe_TBCBank_R_103","Decline, card acceptor contact acquirer"
"Dfe_TBCBank_R_104","Decline, restricted card"
"Dfe_TBCBank_R_105","Decline, card acceptor call acquirer's security department"
"Dfe_TBCBank_R_106","Decline, allowable PIN tries exceeded"
"Dfe_TBCBank_R_107","Decline, refer to card issuer"
"Dfe_TBCBank_R_108","Decline, refer to card issuer's special conditions"
"Dfe_TBCBank_R_109","Decline, invalid merchant"
"Dfe_TBCBank_R_110","Decline, invalid amount"
"Dfe_TBCBank_R_111","Decline, invalid card number"
"Dfe_TBCBank_R_112","Decline, PIN data required"
"Dfe_TBCBank_R_113","Decline, unacceptable fee"
"Dfe_TBCBank_R_114","Decline, no account of type requested"
"Dfe_TBCBank_R_115","Decline, requested function not supported"
"Dfe_TBCBank_R_116","Decline, not sufficient funds"
"Dfe_TBCBank_R_117","Decline, incorrect PIN"
"Dfe_TBCBank_R_118","Decline, no card record"
"Dfe_TBCBank_R_119","Decline, transaction not permitted to cardholder"
"Dfe_TBCBank_R_120","Decline, transaction not permitted to terminal"
"Dfe_TBCBank_R_121","Decline, exceeds withdrawal amount limit"
"Dfe_TBCBank_R_122","Decline, security violation"
"Dfe_TBCBank_R_123","Decline, exceeds withdrawal frequency limit"
"Dfe_TBCBank_R_124","Decline, violation of law"
"Dfe_TBCBank_R_125","Decline, card not effective"
"Dfe_TBCBank_R_126","Decline, invalid PIN block"
"Dfe_TBCBank_R_127","Decline, PIN length error"
"Dfe_TBCBank_R_128","Decline, PIN kay synch error"
"Dfe_TBCBank_R_129","Decline, suspected counterfeit card"
"Dfe_TBCBank_R_180","Decline, by cardholders wish"
"Dfe_TBCBank_R_181","Decline, Card is not active"
"Dfe_TBCBank_R_182","Decline, Card is not active"
"Dfe_TBCBank_R_183","Decline, Card is not active"
"Dfe_TBCBank_R_184","Decline, Card is not active"
"Dfe_TBCBank_R_185","Decline, Card is not active"
"Dfe_TBCBank_R_186","Decline, Card is not active"
"Dfe_TBCBank_R_187","Decline, Card is not active"
"Dfe_TBCBank_R_188","Decline, Card is not active"
"Dfe_TBCBank_R_189","Decline, Card is not active"
"Dfe_TBCBank_R_190","Decline, Card is not active"
"Dfe_TBCBank_R_191","Decline, Card is not active"
"Dfe_TBCBank_R_192","Decline, Card is not active"
"Dfe_TBCBank_R_193","Decline, Card is not active"
"Dfe_TBCBank_R_194","Decline, Card is not active"
"Dfe_TBCBank_R_195","Decline, Card is not active"
"Dfe_TBCBank_R_196","Decline, Card is not active"
"Dfe_TBCBank_R_197","Decline, Card is not active"
"Dfe_TBCBank_R_198","Decline, Card is not active"
"Dfe_TBCBank_R_199","Decline, Card is not active"
"Dfe_TBCBank_R_200","Pick-up (general, no comments)"
"Dfe_TBCBank_R_201","Pick-up, expired card"
"Dfe_TBCBank_R_202","Pick-up, suspected fraud"
"Dfe_TBCBank_R_203","Pick-up, card acceptor contact card acquirer"
"Dfe_TBCBank_R_204","Pick-up, restricted card"
"Dfe_TBCBank_R_205","Pick-up, card acceptor call acquirer's security department"
"Dfe_TBCBank_R_206","Pick-up, allowable PIN tries exceeded"
"Dfe_TBCBank_R_207","Pick-up, special conditions"
"Dfe_TBCBank_R_208","Pick-up, lost card"
"Dfe_TBCBank_R_209","Pick-up, stolen card"
"Dfe_TBCBank_R_400","Accepted (for reversal)"
"Dfe_TBCBank_R_499","Approved, no original message data"
"Dfe_TBCBank_R_500","Status message: reconciled, in balance"
"Dfe_TBCBank_R_900","Advice acknowledged, no financial liability accepted"
"Dfe_TBCBank_R_901","Advice acknowledged, finansial liability accepted"
"Dfe_TBCBank_R_902","Decline reason message: invalid transaction"
"Dfe_TBCBank_R_903","Status message: re-enter transaction"
"Dfe_TBCBank_R_904","Decline reason message: format error"
"Dfe_TBCBank_R_904","Decline reason message: format error"
"Dfe_TBCBank_R_905","Decline reason message: acqiurer not supported by switch"
"Dfe_TBCBank_R_906","Decline reason message: cutover in process"
"Dfe_TBCBank_R_907","Decline reason message: card issuer or switch inoperative"
"Dfe_TBCBank_R_908","Decline reason message: transaction destination cannot be found for routing"
"Dfe_TBCBank_R_909","Decline reason message: system malfunction"
"Dfe_TBCBank_R_910","Decline reason message: card issuer signed off"
"Dfe_TBCBank_R_911","Decline reason message: card issuer timed out"
"Dfe_TBCBank_R_912","Decline reason message: card issuer unavailable"
"Dfe_TBCBank_R_913","Decline reason message: duplicate transmission"
"Dfe_TBCBank_R_914","Decline reason message: not able to trace back to original transaction"
"Dfe_TBCBank_R_915","Decline reason message: reconciliation cutover or checkpoint error"
"Dfe_TBCBank_R_916","Decline reason message: MAC incorrect"
"Dfe_TBCBank_R_917","Decline reason message: MAC key sync error"
"Dfe_TBCBank_R_918","Decline reason message: no communication keys available for use"
"Dfe_TBCBank_R_919","Decline reason message: encryption key sync error"
"Dfe_TBCBank_R_920","Decline reason message: security software/hardware error - try again"
"Dfe_TBCBank_R_921","Decline reason message: security software/hardware error - no action"
"Dfe_TBCBank_R_922","Decline reason message: message number out of sequence"
"Dfe_TBCBank_R_923","Status message: request in progress"
"Dfe_TBCBank_R_950","Decline reason message: violation of business arrangement"
"Dfe_TBCBank_R_1001","System error. Contact with bank acquirer."